Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Hash,MalwareFamily,Arch
8.0,17,64.0,1.991381371554956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5027706861495972,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
7.2,17,57.6,2.910876652387471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.9,3120,42,342,312.0,94.86832980505136,312.0,0.3436893224716186,10,9000.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.477395551737548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.4039110898971557,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,3.3184367893499984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5016623973846436,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.4888616087336213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.401886510848999,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.9919025579085643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5020433902740479,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,3.3149132146858507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.3017362117767334,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.4865736828235803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5025758981704712,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,3.3170091476861265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.4018226861953735,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.4880183077351177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.4021909952163696,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.488804602946059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5025214195251465,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.487249766058914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.4021313905715942,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,1.9910843483535527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.5022490978240967,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,3.3155617663596373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3420,342,342,342.0,0.0,342.0,0.3016211032867432,10,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
8.0,17,64.0,2.986596182219007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1026,342,342,342.0,0.0,342.0,0.6700873374938965,3,0.0,5a5fadaafa8642fd060a5c77b7ca56af6bc5e126b59f48acc02805d260712757,Benign,arm
7.2,17,57.6,1.5191976407129075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.1,0.0,0.0,0.9,0.9,3120,42,342,312.0,94.86832980505136,312.0,0.6582422018051147,10,9000.0,28468a4bc846abdf5dd2732859c5d42d57108781e715773e2b17c50c57d3fede,Benign,arm
